period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.33759,0.29,0.37,0.35,16,-0.0355
+1q,1.42055,1.38,1.55,1.43,16,-0.0066000004
0y,2.23359,2.11,2.4,2.25,22,-0.0073
+1y,2.61001,2.23,3.02943,2.23359,26,0.1685
