period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.49922,0.48,0.51,0.62,14,-0.19479999
+1q,0.53006,0.50123,0.57,0.69,14,-0.2318
0y,2.03515,1.99,2.09,2.6,18,-0.2173
+1y,2.14125,2.0,2.60188,2.03515,19,0.0521
