period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.0498,0.02,0.07,0.06,4,-0.17
+1q,0.04875,0.02,0.07,0.05,4,-0.025
0y,0.19,0.15,0.23,0.039,2,3.8718
+1y,0.2,0.15,0.25,0.19,2,0.052600004
