period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,2415361940,2226446710,2665000000,8,2141000000,0.12810001
+1q,2564000890,2452700000,2751000000,8,2171300000,0.18090001
0y,10169608390,9838867220,10977000000,10,8989300000,0.1313
+1y,10606739070,10374854120,11460000000,10,10169608390,0.043
