period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.39339,0.34767,0.41388,0.34,12,0.157
+1q,0.29941,0.26,0.32,0.28,12,0.069299996
0y,1.37501,1.33,1.459,1.3,17,0.0577
+1y,1.459,1.35627,1.523,1.37501,17,0.061100002
