period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,0.7851,0.6,0.88,0.92,10,-0.1466
+1q,1.00404,0.91,1.1,0.91,10,0.1033
0y,3.91311,3.73,4.2,4.12,12,-0.0502
+1y,4.39686,3.61,5.00146,3.91311,13,0.1236
