Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-09 00:00:00-04:00,211.63999938964844,217.83999633789062,206.42999267578125,217.4600067138672,1125200,0.0,0.0
2026-03-10 00:00:00-04:00,217.0,220.69000244140625,213.42999267578125,215.85000610351562,706700,0.0,0.0
2026-03-11 00:00:00-04:00,215.85000610351562,216.5399932861328,207.5399932861328,210.36000061035156,804600,0.0,0.0
2026-03-12 00:00:00-04:00,207.1999969482422,207.77000427246094,200.55999755859375,201.1300048828125,995200,0.0,0.0
2026-03-13 00:00:00-04:00,203.0,203.75999450683594,199.97999572753906,200.25,1198600,0.0,0.0
2026-03-16 00:00:00-04:00,202.89999389648438,205.0,201.63999938964844,202.72999572753906,894400,0.0,0.0
2026-03-17 00:00:00-04:00,204.05999755859375,205.6999969482422,193.94000244140625,200.1199951171875,1401500,0.0,0.0
2026-03-18 00:00:00-04:00,200.1199951171875,200.88999938964844,194.47000122070312,197.63999938964844,1812400,0.0,0.0
2026-03-19 00:00:00-04:00,195.1999969482422,201.32000732421875,195.1999969482422,200.1999969482422,949000,0.0,0.0
2026-03-20 00:00:00-04:00,200.1999969482422,201.5,195.97000122070312,199.92999267578125,1702100,0.0,0.0
2026-03-23 00:00:00-04:00,205.27999877929688,208.66000366210938,202.6199951171875,202.77999877929688,911100,0.0,0.0
2026-03-24 00:00:00-04:00,200.61000061035156,209.14999389648438,200.49000549316406,205.13999938964844,535600,0.0,0.0
2026-03-25 00:00:00-04:00,206.97999572753906,209.9199981689453,204.8300018310547,209.10000610351562,894400,0.0,0.0
2026-03-26 00:00:00-04:00,207.38999938964844,210.77000427246094,205.72000122070312,206.17999267578125,598300,0.0,0.0
2026-03-27 00:00:00-04:00,204.27999877929688,206.25,202.6999969482422,205.58999633789062,628400,0.0,0.0
2026-03-30 00:00:00-04:00,207.27000427246094,207.8000030517578,204.14999389648438,204.77000427246094,671400,0.0,0.0
2026-03-31 00:00:00-04:00,205.50999450683594,212.30999755859375,205.50999450683594,211.89999389648438,949500,0.0,0.0
2026-04-01 00:00:00-04:00,212.25,216.4499969482422,211.39999389648438,213.44000244140625,782900,0.0,0.0
2026-04-02 00:00:00-04:00,211.41000366210938,216.60000610351562,208.8699951171875,214.91000366210938,682200,0.0,0.0
2026-04-06 00:00:00-04:00,212.14999389648438,217.47999572753906,212.14999389648438,217.3699951171875,540600,0.0,0.0
2026-04-07 00:00:00-04:00,218.0399932861328,220.8699951171875,216.33999633789062,219.21499633789062,170088,0.0,0.0
