period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,2046250000,1926400000,2303400000,4,2350445000,-0.1294
+1q,2418275000,2342000000,2497100000,4,2548267000,-0.051
0y,9619715730,9332300000,9891800000,4,10094269000,-0.047
+1y,10180454360,9974200000,10386300000,4,9619715730,0.0583
