period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,2.82107,2.71,2.88,2.7,19,0.0448
+1q,3.01746,2.88319,3.13,2.81,19,0.0738
0y,12.69726,12.55,12.844,11.92,22,0.0652
+1y,14.07484,13.65,14.87603,12.69726,22,0.108500004
