period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.53735,1.49792,1.58,1.48,21,0.0388
+1q,1.68316,1.63,1.73,1.52,19,0.1073
0y,6.50041,6.39,6.60148,6.0,27,0.0834
+1y,7.15364,6.91,7.56401,6.50041,28,0.1005
