period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,22846844910,21531000000,23270040390,26,20930000000,0.0916
+1q,26269407990,24850000000,26677000000,26,23959000000,0.0964
0y,93053873490,88387000000,94213104600,34,86286000000,0.0784
+1y,96363445320,91472000000,98314787210,32,93053873490,0.0356
