,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Prepaid Assets,372000000.0,415000000.0,420000000.0,332000000.0,332000000.0,
Receivables,10551000000.0,9824000000.0,9455000000.0,8459000000.0,8096000000.0,
Other Receivables,462000000.0,415000000.0,382000000.0,411000000.0,400000000.0,
Taxes Receivable,175000000.0,200000000.0,306000000.0,103000000.0,130000000.0,
Loans Receivable,1630000000.0,1647000000.0,1448000000.0,1192000000.0,561000000.0,
Accounts Receivable,8284000000.0,7562000000.0,7319000000.0,6753000000.0,7005000000.0,
Allowance For Doubtful Accounts Receivable,-125000000.0,-121000000.0,-109000000.0,-108000000.0,-101000000.0,
Gross Accounts Receivable,8409000000.0,7683000000.0,7428000000.0,6861000000.0,7106000000.0,
Cash Cash Equivalents And Short Term Investments,1864000000.0,1669000000.0,1395000000.0,1382000000.0,1114000000.0,
Cash And Cash Equivalents,1864000000.0,1669000000.0,1395000000.0,1382000000.0,1114000000.0,
