period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,1821478090,1792328000,1861000000,12,1716800000,0.061
+1q,1979818320,1955000000,1996621500,12,1887900000,0.048699997
0y,7950841680,7901508090,8017039370,14,7650900000,0.0392
+1y,8343153650,8178060880,8558000000,13,7950841680,0.0493
