period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.79867,1.68,1.87,1.85,13,-0.0277
+1q,2.03338,1.96,2.1,2.0,13,0.0167
0y,9.27583,9.05,9.43,8.84,15,0.0493
+1y,10.16633,9.61,10.74,9.27583,14,0.096
