,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Tax Effect Of Unusual Items,-870839.044692,-1281117.787328,-1250725.0,-449934.0,-417850.033281,,
Tax Rate For Calcs,0.244549,0.24054,0.245,0.246,0.241253,,
Normalized EBITDA,565851000.0,390532000.0,426229000.0,477468000.0,589752000.0,,
Total Unusual Items,-3561000.0,-5326000.0,-5105000.0,-1829000.0,-1732000.0,,
Total Unusual Items Excluding Goodwill,-3561000.0,-5326000.0,-5105000.0,-1829000.0,-1732000.0,,
Net Income From Continuing Operation Net Minority Interest,356677000.0,230875000.0,260875000.0,305052000.0,393270000.0,,
Reconciled Depreciation,81787000.0,75787000.0,71165000.0,72033000.0,69967000.0,,
Reconciled Cost Of Revenue,2414717000.0,1701958000.0,1696773000.0,1734148000.0,2153967000.0,,
EBITDA,562290000.0,385206000.0,421124000.0,475639000.0,588020000.0,,
EBIT,480503000.0,309419000.0,349959000.0,403606000.0,518053000.0,,
Net Interest Income,-2624000.0,-4123000.0,1413000.0,3547000.0,1994000.0,,
Interest Expense,,4123000.0,,,,,
Interest Income,,,1413000.0,3547000.0,1994000.0,1674000.0,4526000.0
Normalized Income,359367160.955308,234919882.212672,264729275.0,306431066.0,394584149.966719,,
Net Income From Continuing And Discontinued Operation,356677000.0,230875000.0,260875000.0,305052000.0,393270000.0,,
Total Expenses,3417858000.0,2542878000.0,2438510000.0,2444761000.0,2969566000.0,,
Total Operating Income As Reported,476942000.0,309419000.0,344854000.0,401777000.0,516321000.0,,
Diluted Average Shares,44521000.0,44895000.0,45112000.0,45508000.0,46476000.0,,
Basic Average Shares,44320000.0,44731000.0,44955000.0,45362000.0,46270000.0,,
Diluted EPS,8.01,5.14,5.78,6.7,8.46,,
Basic EPS,8.05,5.16,5.8,6.72,8.5,,
Diluted NI Availto Com Stockholders,356677000.0,230875000.0,260875000.0,305052000.0,393270000.0,,
Net Income Common Stockholders,356677000.0,230875000.0,260875000.0,305052000.0,393270000.0,,
Net Income,356677000.0,230875000.0,260875000.0,305052000.0,393270000.0,,
Net Income Including Noncontrolling Interests,356677000.0,230875000.0,260875000.0,305052000.0,393270000.0,,
Net Income Continuous Operations,356677000.0,230875000.0,260875000.0,305052000.0,393270000.0,,
Earnings From Equity Interest Net Of Tax,-1647000.0,-985000.0,-597000.0,-628000.0,,0.0,
Tax Provision,115994000.0,73436000.0,84795000.0,99644000.0,125045000.0,,
Pretax Income,474318000.0,305296000.0,346267000.0,405324000.0,518315000.0,,
Other Income Expense,-3561000.0,-5326000.0,-5105000.0,-1829000.0,-1732000.0,,
Special Income Charges,-3561000.0,-5326000.0,-5105000.0,-1829000.0,-1732000.0,,
Other Special Charges,3561000.0,5326000.0,5105000.0,1829000.0,1732000.0,,
Net Non Operating Interest Income Expense,-2624000.0,-4123000.0,1413000.0,3547000.0,1994000.0,,
Interest Expense Non Operating,,4123000.0,,,,,
Interest Income Non Operating,,,1413000.0,3547000.0,1994000.0,1674000.0,4526000.0
Operating Income,480503000.0,314745000.0,349959000.0,403606000.0,518053000.0,,
Operating Expense,1003141000.0,840920000.0,741737000.0,710613000.0,815599000.0,,
Selling General And Administration,1003141000.0,840920000.0,741737000.0,710613000.0,815599000.0,,
Gross Profit,1483644000.0,1155665000.0,1091696000.0,1114219000.0,1333652000.0,,
Cost Of Revenue,2414717000.0,1701958000.0,1696773000.0,1734148000.0,2153967000.0,,
Total Revenue,3898361000.0,2857623000.0,2788469000.0,2848367000.0,3487619000.0,,
Operating Revenue,3898361000.0,2857623000.0,2788469000.0,2848367000.0,3487619000.0,,
