Date,Stock Splits
1980-10-27 00:00:00-05:00,1.05
1981-03-23 00:00:00-05:00,1.5
1981-08-17 00:00:00-04:00,1.05
1982-08-17 00:00:00-04:00,1.05
1983-08-16 00:00:00-04:00,1.05
1984-08-14 00:00:00-04:00,1.05
1985-08-13 00:00:00-04:00,1.05
1986-06-03 00:00:00-04:00,1.5
1986-08-12 00:00:00-04:00,1.05
1987-08-11 00:00:00-04:00,1.05
1988-08-16 00:00:00-04:00,1.05
1989-08-22 00:00:00-04:00,1.05
1989-12-05 00:00:00-05:00,1.5
1990-08-14 00:00:00-04:00,1.05
1991-08-13 00:00:00-04:00,1.05
1992-08-11 00:00:00-04:00,1.05
1993-08-17 00:00:00-04:00,1.05
1994-08-16 00:00:00-04:00,1.05
1994-12-06 00:00:00-05:00,1.5
1995-08-17 00:00:00-04:00,1.05
1996-08-15 00:00:00-04:00,1.05
1997-08-14 00:00:00-04:00,1.05
1998-08-20 00:00:00-04:00,1.05
1999-08-19 00:00:00-04:00,1.05
2000-08-24 00:00:00-04:00,1.05
2001-08-30 00:00:00-04:00,1.05
