Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-03-09 00:00:00-04:00,194.24000549316406,198.0500030517578,190.77000427246094,197.60000610351562,780900,0.0,0.0
2026-03-10 00:00:00-04:00,197.32000732421875,199.5500030517578,195.77000427246094,195.7899932861328,501800,0.0,0.0
2026-03-11 00:00:00-04:00,195.0399932861328,195.25999450683594,191.6300048828125,194.47999572753906,597900,0.0,0.0
2026-03-12 00:00:00-04:00,192.77999877929688,193.14999389648438,187.44000244140625,188.11000061035156,896100,0.0,0.0
2026-03-13 00:00:00-04:00,189.6300048828125,189.6300048828125,185.58999633789062,188.17999267578125,628700,0.0,0.0
2026-03-16 00:00:00-04:00,189.55999755859375,191.6300048828125,188.91000366210938,189.57000732421875,840900,0.0,0.0
2026-03-17 00:00:00-04:00,191.22999572753906,192.33999633789062,187.13999938964844,190.38999938964844,612400,0.0,0.0
2026-03-18 00:00:00-04:00,188.9499969482422,192.10000610351562,188.9499969482422,190.16000366210938,698700,0.0,0.0
2026-03-19 00:00:00-04:00,186.47999572753906,190.17999267578125,186.47999572753906,187.3800048828125,1140200,0.0,0.0
2026-03-20 00:00:00-04:00,187.7100067138672,188.83999633789062,183.1300048828125,184.11000061035156,3105700,0.0,0.0
2026-03-23 00:00:00-04:00,189.10000610351562,190.85000610351562,187.42999267578125,188.61000061035156,1571000,0.0,0.0
2026-03-24 00:00:00-04:00,186.77000427246094,193.22000122070312,185.16000366210938,192.8800048828125,1260500,0.0,0.0
2026-03-25 00:00:00-04:00,195.05999755859375,195.42999267578125,189.22000122070312,191.6300048828125,916000,0.0,0.0
2026-03-26 00:00:00-04:00,190.69000244140625,193.69000244140625,188.9199981689453,189.72999572753906,780600,0.0,0.0
2026-03-27 00:00:00-04:00,189.4199981689453,189.4199981689453,186.32000732421875,186.5500030517578,726800,0.0,0.0
2026-03-30 00:00:00-04:00,188.3300018310547,188.3699951171875,183.0,183.49000549316406,1015800,0.0,0.0
2026-03-31 00:00:00-04:00,186.97999572753906,190.74000549316406,186.0,189.5500030517578,851900,0.0,0.0
2026-04-01 00:00:00-04:00,190.52000427246094,192.8699951171875,189.16000366210938,191.97999572753906,724700,0.0,0.0
2026-04-02 00:00:00-04:00,189.05999755859375,192.82000732421875,187.77000427246094,190.47000122070312,460800,0.0,0.0
2026-04-06 00:00:00-04:00,189.27999877929688,190.7899932861328,187.3800048828125,190.75999450683594,530600,0.0,0.0
2026-04-07 00:00:00-04:00,190.24000549316406,192.66000366210938,189.38999938964844,190.68499755859375,148528,0.0,0.0
