,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30
Tax Effect Of Unusual Items,-563864.042934,-25100.0,-160300.0,-4095000.0,-722222.222222,
Tax Rate For Calcs,0.234943,0.251,0.229,0.234,0.185185,
Normalized EBITDA,239800000.0,239200000.0,237200000.0,208000000.0,222500000.0,
Total Unusual Items,-2400000.0,-100000.0,-700000.0,-17500000.0,-3900000.0,
Total Unusual Items Excluding Goodwill,-2400000.0,-100000.0,-700000.0,-17500000.0,-3900000.0,
Net Income From Continuing Operation Net Minority Interest,128300000.0,127800000.0,131600000.0,95500000.0,123200000.0,
Reconciled Depreciation,53500000.0,52100000.0,51000000.0,49900000.0,50700000.0,
Reconciled Cost Of Revenue,512000000.0,488100000.0,473200000.0,445400000.0,495800000.0,
EBITDA,237400000.0,239100000.0,236500000.0,190500000.0,218600000.0,
EBIT,183900000.0,187000000.0,185500000.0,140600000.0,167900000.0,
Net Interest Income,-16200000.0,-16500000.0,-15600000.0,-16100000.0,-16700000.0,
Interest Expense,16200000.0,16500000.0,15600000.0,16100000.0,16700000.0,
Normalized Income,130136135.957066,127874900.0,132139700.0,108905000.0,126377777.777778,
Net Income From Continuing And Discontinued Operation,128300000.0,127800000.0,131600000.0,95500000.0,123200000.0,
Total Expenses,713100000.0,692800000.0,676800000.0,654800000.0,693700000.0,
Total Operating Income As Reported,183600000.0,185800000.0,187900000.0,142000000.0,165300000.0,
Diluted Average Shares,74800000.0,75200000.0,75500000.0,75800000.0,75900000.0,
Basic Average Shares,74800000.0,75100000.0,75500000.0,75700000.0,75800000.0,
Diluted EPS,1.71,1.7,1.74,1.26,1.62,
Basic EPS,1.72,1.7,1.74,1.26,1.62,
Diluted NI Availto Com Stockholders,128300000.0,127800000.0,131600000.0,95500000.0,123200000.0,
Net Income Common Stockholders,128300000.0,127800000.0,131600000.0,95500000.0,123200000.0,
Net Income,128300000.0,127800000.0,131600000.0,95500000.0,123200000.0,
Minority Interests,0.0,100000.0,500000.0,100000.0,0.0,
Net Income Including Noncontrolling Interests,128300000.0,127700000.0,131100000.0,95400000.0,123200000.0,
Net Income Continuous Operations,128300000.0,127700000.0,131100000.0,95400000.0,123200000.0,
Tax Provision,39400000.0,42800000.0,38800000.0,29100000.0,28000000.0,
Pretax Income,167700000.0,170500000.0,169900000.0,124500000.0,151200000.0,
Other Income Expense,-2100000.0,1100000.0,-3100000.0,-18900000.0,-1300000.0,
Other Non Operating Income Expenses,300000.0,1200000.0,-2400000.0,-1400000.0,,-2700000.0
Special Income Charges,-2400000.0,-100000.0,-700000.0,-17500000.0,-3900000.0,
Gain On Sale Of Business,0.0,0.0,0.0,,0.0,-600000.0
Restructuring And Mergern Acquisition,1700000.0,100000.0,700000.0,17500000.0,3800000.0,
Net Non Operating Interest Income Expense,-16200000.0,-16500000.0,-15600000.0,-16100000.0,-16700000.0,
Interest Expense Non Operating,16200000.0,16500000.0,15600000.0,16100000.0,16700000.0,
Operating Income,186000000.0,185900000.0,188600000.0,159500000.0,169200000.0,
Operating Expense,201100000.0,204700000.0,203600000.0,209400000.0,197900000.0,
Selling General And Administration,201100000.0,204700000.0,203600000.0,209400000.0,197900000.0,
Gross Profit,387100000.0,390600000.0,392200000.0,368900000.0,367100000.0,
Cost Of Revenue,512000000.0,488100000.0,473200000.0,445400000.0,495800000.0,
Total Revenue,899100000.0,878700000.0,865400000.0,814300000.0,862900000.0,
Operating Revenue,899100000.0,878700000.0,865400000.0,814300000.0,862900000.0,
