period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.89872,1.87,1.948,1.75,11,0.085
+1q,1.97138,1.93,1.99,1.78,11,0.1075
0y,8.0626,8.0,8.15632,7.43,12,0.0851
+1y,8.71913,8.53,8.9553,8.0626,12,0.08140001
