Date,Dividends,Stock Splits
2022-05-05 00:00:00-04:00,0.365,0.0
2022-08-04 00:00:00-04:00,0.365,0.0
2022-11-04 00:00:00-04:00,0.365,0.0
2023-02-06 00:00:00-05:00,0.365,0.0
2023-05-04 00:00:00-04:00,0.125,0.0
2023-08-04 00:00:00-04:00,0.125,0.0
2023-11-06 00:00:00-05:00,0.125,0.0
2024-02-06 00:00:00-05:00,0.125,0.0
2024-05-06 00:00:00-04:00,0.125,0.0
2024-08-07 00:00:00-04:00,0.125,0.0
