period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,715473460,692900000,737054990,13,636366000,0.1243
+1q,611320350,555500000,680900000,12,643937000,-0.0507
0y,2687031560,2672500000,2795941880,14,2739226000,-0.0191
+1y,2845889600,2662200000,2971408790,14,2687031560,0.0591
