period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.90749,1.74,2.07,1.81,21,0.0539
+1q,2.10378,1.87,2.49,2.01,19,0.0467
0y,8.66822,8.29,8.91,8.15,30,0.0636
+1y,9.62169,8.25,10.66,8.66822,29,0.11
