,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-11658000.0,0.0,0.0,50614910.313901
Tax Rate For Calcs,0.174,0.255,0.252,0.213565
Total Unusual Items,-67000000.0,0.0,0.0,237000000.0
Total Unusual Items Excluding Goodwill,-67000000.0,0.0,0.0,237000000.0
Net Income From Continuing Operation Net Minority Interest,1188000000.0,1207000000.0,2489000000.0,2806000000.0
Reconciled Depreciation,824000000.0,968000000.0,917000000.0,845000000.0
EBIT,2186000000.0,2381000000.0,3876000000.0,3969000000.0
Net Interest Income,-631000000.0,-660000000.0,-493000000.0,-401000000.0
Interest Expense,631000000.0,660000000.0,493000000.0,401000000.0
Normalized Income,1243342000.0,1207000000.0,2489000000.0,2619614910.313901
Net Income From Continuing And Discontinued Operation,1188000000.0,1207000000.0,2489000000.0,2806000000.0
Total Expenses,128109000000.0,116040000000.0,102991000000.0,89302000000.0
Diluted Average Shares,120826000.0,120869000.0,124441000.0,127094000.0
Basic Average Shares,120454000.0,120571000.0,123866000.0,126419000.0
Diluted EPS,9.84,9.98,20.0,22.08
Basic EPS,9.87,10.01,20.09,22.2
Diluted NI Availto Com Stockholders,1188000000.0,1207000000.0,2489000000.0,2806000000.0
Net Income Common Stockholders,1188000000.0,1207000000.0,2489000000.0,2806000000.0
Net Income,1188000000.0,1207000000.0,2489000000.0,2806000000.0
Minority Interests,-15000000.0,-7000000.0,5000000.0,4000000.0
Net Income Including Noncontrolling Interests,1203000000.0,1214000000.0,2484000000.0,2802000000.0
Net Income Continuous Operations,1203000000.0,1214000000.0,2484000000.0,2802000000.0
Earnings From Equity Interest Net Of Tax,-102000000.0,-94000000.0,-63000000.0,-4000000.0
Tax Provision,250000000.0,413000000.0,836000000.0,762000000.0
Pretax Income,1555000000.0,1721000000.0,3383000000.0,3568000000.0
Special Income Charges,-67000000.0,0.0,0.0,237000000.0
Other Special Charges,67000000.0,,,-237000000.0
Net Non Operating Interest Income Expense,-631000000.0,-660000000.0,-493000000.0,-401000000.0
Interest Expense Non Operating,631000000.0,660000000.0,493000000.0,401000000.0
Other Operating Expenses,15901000000.0,13877000000.0,13325000000.0,12739000000.0
Depreciation And Amortization In Income Statement,698000000.0,839000000.0,779000000.0,709000000.0
Total Revenue,129664000000.0,117761000000.0,106374000000.0,92870000000.0
Operating Revenue,129664000000.0,117761000000.0,106374000000.0,92870000000.0
Loss Adjustment Expense,110812000000.0,100664000000.0,88394000000.0,75690000000.0
Net Policyholder Benefits And Claims,110812000000.0,100664000000.0,88394000000.0,75690000000.0
