period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.95161,1.34,2.56,1.76,20,0.1089
+1q,2.68373,1.18,4.19,1.64,19,0.6364
0y,9.28,5.0,13.17,6.99,25,0.32759997
+1y,9.52985,7.25,13.8,9.28,25,0.0269
