period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,14312054640,13815000000,14710948420,17,13213000000,0.0832
+1q,17219344450,15885000000,18139485750,15,15236000000,0.1302
0y,65427199660,61585000000,68569126399,21,59070000000,0.1076
+1y,68760823060,62273000000,73113111650,21,65427199660,0.051
