period,avg,low,high,yearAgoEps,numberOfAnalysts,growth
0q,1.11889,0.52,1.54482,0.91,20,0.22950001
+1q,2.62074,0.2,4.65,3.87,17,-0.32279998
0y,10.34709,6.86,13.34,10.62,20,-0.0257
+1y,14.59836,11.50386,16.18,10.34709,22,0.4109
