,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,40425000.0,0.0,0.0,0.0
Tax Rate For Calcs,0.175,0.168,0.124,0.161
Normalized EBITDA,6974000000.0,7007000000.0,4229000000.0,7684000000.0
Total Unusual Items,231000000.0,0.0,0.0,0.0
Total Unusual Items Excluding Goodwill,231000000.0,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,4182000000.0,4174000000.0,2056000000.0,4896000000.0
Reconciled Depreciation,1472000000.0,1370000000.0,1338000000.0,1342000000.0
Reconciled Cost Of Revenue,33641000000.0,32671000000.0,32739000000.0,29128000000.0
EBITDA,7205000000.0,7007000000.0,4229000000.0,7684000000.0
EBIT,5733000000.0,5637000000.0,2891000000.0,6342000000.0
Net Interest Income,-665000000.0,-621000000.0,-545000000.0,-506000000.0
Interest Expense,665000000.0,621000000.0,545000000.0,506000000.0
Normalized Income,3991425000.0,4174000000.0,2056000000.0,4896000000.0
Net Income From Continuing And Discontinued Operation,4182000000.0,4174000000.0,2056000000.0,4896000000.0
Total Expenses,37674000000.0,36663000000.0,36753000000.0,33001000000.0
Total Operating Income As Reported,4511000000.0,4370000000.0,2537000000.0,3601000000.0
Diluted Average Shares,143800000.0,147300000.0,152000000.0,155600000.0
Basic Average Shares,143500000.0,147000000.0,151500000.0,154900000.0
Diluted EPS,29.08,28.34,13.53,31.47
Basic EPS,29.14,28.39,13.57,31.61
Diluted NI Availto Com Stockholders,4182000000.0,4174000000.0,2056000000.0,4896000000.0
Net Income Common Stockholders,4182000000.0,4174000000.0,2056000000.0,4896000000.0
Net Income,4182000000.0,4174000000.0,2056000000.0,4896000000.0
Net Income Including Noncontrolling Interests,4182000000.0,4174000000.0,2056000000.0,4896000000.0
Net Income Continuous Operations,4182000000.0,4174000000.0,2056000000.0,4896000000.0
Tax Provision,886000000.0,842000000.0,290000000.0,940000000.0
Pretax Income,5068000000.0,5016000000.0,2346000000.0,5836000000.0
Other Income Expense,1453000000.0,1267000000.0,354000000.0,2741000000.0
Other Non Operating Income Expenses,1222000000.0,1267000000.0,354000000.0,2741000000.0
Special Income Charges,231000000.0,0.0,0.0,0.0
Gain On Sale Of Business,231000000.0,0.0,0.0,0.0
Net Non Operating Interest Income Expense,-665000000.0,-621000000.0,-545000000.0,-506000000.0
Interest Expense Non Operating,665000000.0,621000000.0,545000000.0,506000000.0
Operating Income,4280000000.0,4370000000.0,2537000000.0,3601000000.0
Operating Expense,4033000000.0,3992000000.0,4014000000.0,3873000000.0
Selling General And Administration,4033000000.0,3992000000.0,4014000000.0,3873000000.0
General And Administrative Expense,4033000000.0,3992000000.0,4014000000.0,3873000000.0
Other Gand A,4033000000.0,3992000000.0,4014000000.0,3873000000.0
Gross Profit,8313000000.0,8362000000.0,6551000000.0,7474000000.0
Cost Of Revenue,33641000000.0,32671000000.0,32739000000.0,29128000000.0
Total Revenue,41954000000.0,41033000000.0,39290000000.0,36602000000.0
Operating Revenue,41954000000.0,41033000000.0,39290000000.0,36602000000.0
