period,avg,low,high,numberOfAnalysts,yearAgoRevenue,growth
0q,13878668600,13352000000,14350000000,15,13715000000,0.0119
+1q,14465856310,14105408590,14816000000,15,14653000000,-0.0128
0y,61149246950,59800000000,62588000000,25,62579000000,-0.0228
+1y,58851329070,55956000000,61503700000,25,61149246950,-0.0376
