,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Tax Effect Of Unusual Items,-5835985.234773,0.0,-1395708.0,-157050.0,-6491722.730362,,
Tax Rate For Calcs,0.121629,0.112107,0.321,0.09,0.101613,,
Normalized EBITDA,1570699000.0,1470699000.0,1334641000.0,1202983000.0,1090330000.0,,
Total Unusual Items,-47982000.0,0.0,-4348000.0,-1745000.0,-63887000.0,,
Total Unusual Items Excluding Goodwill,-47982000.0,0.0,-4348000.0,-1745000.0,-63887000.0,,
Net Income From Continuing Operation Net Minority Interest,830826000.0,787738000.0,518518000.0,569770000.0,391316000.0,,
Reconciled Depreciation,490501000.0,495343000.0,487292000.0,500607000.0,515603000.0,,
Reconciled Cost Of Revenue,812101000.0,826374000.0,790723000.0,715266000.0,664683000.0,,
EBITDA,1522717000.0,1470699000.0,1330293000.0,1201238000.0,1026443000.0,,
EBIT,1032216000.0,975356000.0,843001000.0,700631000.0,510840000.0,,
Net Interest Income,-54088000.0,-55186000.0,-52509000.0,-52978000.0,-51777000.0,,
Interest Expense,86345000.0,88157000.0,79592000.0,74703000.0,75264000.0,,
Interest Income,32257000.0,32971000.0,27083000.0,21725000.0,23487000.0,,
Normalized Income,872972014.765227,787738000.0,521470292.0,571357950.0,448711277.269638,,
Net Income From Continuing And Discontinued Operation,830826000.0,787738000.0,518518000.0,569770000.0,391316000.0,,
Total Expenses,2115255000.0,2130906000.0,2057972000.0,1960379000.0,1867974000.0,,
Total Operating Income As Reported,997026000.0,945211000.0,818028000.0,677944000.0,491313000.0,,
Diluted Average Shares,491656000.0,493242000.0,496726000.0,498201000.0,498668000.0,,
Basic Average Shares,488874000.0,490847000.0,494390000.0,496173000.0,496116000.0,,
Diluted EPS,1.69,1.6,1.04,1.14,0.78,,
Basic EPS,1.7,1.6,1.05,1.15,0.79,,
Diluted NI Availto Com Stockholders,830826000.0,787738000.0,518518000.0,569770000.0,391316000.0,,
Net Income Common Stockholders,830826000.0,787738000.0,518518000.0,569770000.0,391316000.0,,
Net Income,830826000.0,787738000.0,518518000.0,569770000.0,391316000.0,,
Net Income Including Noncontrolling Interests,830826000.0,787738000.0,518518000.0,569770000.0,391316000.0,,
Net Income Continuous Operations,830826000.0,787738000.0,518518000.0,569770000.0,391316000.0,,
Tax Provision,115045000.0,99461000.0,244891000.0,56158000.0,44260000.0,,
Pretax Income,945871000.0,887199000.0,763409000.0,625928000.0,435576000.0,,
Other Income Expense,-45049000.0,-2826000.0,-6458000.0,-783000.0,-67847000.0,,
Other Non Operating Income Expenses,2933000.0,-2826000.0,-2110000.0,962000.0,-3960000.0,,
Special Income Charges,-47982000.0,0.0,-4348000.0,-1745000.0,-63887000.0,,
Other Special Charges,47982000.0,,,1745000.0,63887000.0,2859000.0,12282000.0
Net Non Operating Interest Income Expense,-54088000.0,-55186000.0,-52509000.0,-52978000.0,-51777000.0,,
Interest Expense Non Operating,86345000.0,88157000.0,79592000.0,74703000.0,75264000.0,,
Interest Income Non Operating,32257000.0,32971000.0,27083000.0,21725000.0,23487000.0,,
Operating Income,1045008000.0,945211000.0,822376000.0,679689000.0,555200000.0,,
Operating Expense,999968000.0,996606000.0,967372000.0,931921000.0,875103000.0,,
Depreciation Amortization Depletion Income Statement,187315000.0,187417000.0,187415000.0,187415000.0,187415000.0,,
Depreciation And Amortization In Income Statement,187315000.0,187417000.0,187415000.0,187415000.0,187415000.0,,
Amortization,187315000.0,187417000.0,187415000.0,187415000.0,187415000.0,,
Amortization Of Intangibles Income Statement,187315000.0,187417000.0,187415000.0,187415000.0,187415000.0,,
Research And Development,467400000.0,467021000.0,454251000.0,441837000.0,402892000.0,,
Selling General And Administration,345253000.0,342168000.0,325706000.0,302669000.0,284796000.0,,
Gross Profit,2044976000.0,1941817000.0,1789748000.0,1611610000.0,1430303000.0,,
Cost Of Revenue,1115287000.0,1134300000.0,1090600000.0,1028458000.0,992871000.0,,
Total Revenue,3160263000.0,3076117000.0,2880348000.0,2640068000.0,2423174000.0,,
Operating Revenue,3160263000.0,3076117000.0,2880348000.0,2640068000.0,2423174000.0,,
