,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31
Ordinary Shares Number,488204157.0,489654097.0,491955436.0,496248196.0,495976483.0,,
Share Issued,488204157.0,489654097.0,491955436.0,496248196.0,495976483.0,,
Net Debt,5776361000.0,6092299000.0,6367412000.0,4820902000.0,5216820000.0,,
Total Debt,8682221000.0,8664610000.0,8688603000.0,7197137000.0,7566814000.0,,
Tangible Book Value,-787121000.0,-1143240000.0,-1261968000.0,-721940000.0,-1057683000.0,,
Invested Capital,42469480000.0,42407460000.0,42774445000.0,42207757000.0,42637349000.0,,
Working Capital,3271903000.0,3862260000.0,3945531000.0,2897895000.0,2762080000.0,,
Net Tangible Assets,-787121000.0,-1143240000.0,-1261968000.0,-721940000.0,-1057683000.0,,
Capital Lease Obligations,,72905000.0,,,,68130000.0,
Common Stock Equity,33787259000.0,33815755000.0,34085842000.0,35010620000.0,35070535000.0,,
Total Capitalization,41027538000.0,41960821000.0,42225780000.0,41659037000.0,41689091000.0,,
Total Equity Gross Minority Interest,33787259000.0,33815755000.0,34085842000.0,35010620000.0,35070535000.0,,
Stockholders Equity,33787259000.0,33815755000.0,34085842000.0,35010620000.0,35070535000.0,,
Gains Losses Not Affecting Retained Earnings,-148441000.0,-154582000.0,-173085000.0,-167632000.0,-184969000.0,,
Other Equity Adjustments,-148441000.0,-154582000.0,-173085000.0,-167632000.0,-184969000.0,,
Retained Earnings,10886107000.0,10539541000.0,10238695000.0,10210338000.0,10131590000.0,,
Additional Paid In Capital,22968224000.0,23349185000.0,23938238000.0,24885204000.0,25041250000.0,,
Capital Stock,81369000.0,81611000.0,81994000.0,82710000.0,82664000.0,,
Common Stock,81369000.0,81611000.0,81994000.0,82710000.0,82664000.0,,
Preferred Stock,0.0,0.0,0.0,0.0,0.0,,
Total Liabilities Net Minority Interest,14203931000.0,14176957000.0,14106759000.0,12333867000.0,12897011000.0,,
Total Non Current Liabilities Net Minority Interest,9873308000.0,10931156000.0,11127721000.0,9643225000.0,9926015000.0,,
Other Non Current Liabilities,533552000.0,521846000.0,516367000.0,518879000.0,531029000.0,,
Tradeand Other Payables Non Current,103644000.0,100963000.0,99880000.0,96354000.0,261564000.0,,
Non Current Deferred Liabilities,1995833000.0,2163281000.0,2371536000.0,2379575000.0,2514866000.0,,
Non Current Deferred Taxes Liabilities,1995833000.0,2163281000.0,2371536000.0,2379575000.0,2514866000.0,,
Long Term Debt And Capital Lease Obligation,7240279000.0,8145066000.0,8139938000.0,6648417000.0,6618556000.0,,
Long Term Debt,7240279000.0,8145066000.0,8139938000.0,6648417000.0,6618556000.0,,
Current Liabilities,4330623000.0,3245801000.0,2979038000.0,2690642000.0,2970996000.0,,
Other Current Liabilities,,12550000.0,,,,36855000.0,
Current Debt And Capital Lease Obligation,1441942000.0,519544000.0,548665000.0,548720000.0,948258000.0,,
Current Capital Lease Obligation,,72905000.0,,,,68130000.0,
Current Debt,1441942000.0,446639000.0,548665000.0,548720000.0,948258000.0,,
Other Current Borrowings,898900000.0,,,,399855000.0,399636000.0,899251000.0
Commercial Paper,543042000.0,446639000.0,548665000.0,548720000.0,548403000.0,,
Pensionand Other Post Retirement Benefit Plans Current,,455625000.0,,,,220091000.0,
Payables And Accrued Expenses,2888681000.0,2258082000.0,2430373000.0,2141922000.0,2022738000.0,,
Current Accrued Expenses,1583794000.0,1068702000.0,1464617000.0,1353568000.0,1166343000.0,,
Interest Payable,,67296000.0,,,,45517000.0,
Payables,1304887000.0,1189380000.0,965756000.0,788354000.0,856395000.0,,
Total Tax Payable,755829000.0,645620000.0,475033000.0,358949000.0,487456000.0,,
Income Tax Payable,755829000.0,610370000.0,475033000.0,358949000.0,487456000.0,,
Accounts Payable,549058000.0,543760000.0,490723000.0,429405000.0,368939000.0,,
Total Assets,47991190000.0,47992712000.0,48192601000.0,47344487000.0,47967546000.0,,
Total Non Current Assets,40388664000.0,40884651000.0,41268032000.0,41755950000.0,42234470000.0,,
Other Non Current Assets,805655000.0,742858000.0,695502000.0,701671000.0,718336000.0,,
Non Current Deferred Assets,1759646000.0,1867102000.0,1925442000.0,1985591000.0,2032676000.0,,
Non Current Deferred Taxes Assets,1759646000.0,1867102000.0,1925442000.0,1985591000.0,2032676000.0,,
Goodwill And Other Intangible Assets,34574380000.0,34958995000.0,35347810000.0,35732560000.0,36128218000.0,,
Other Intangible Assets,7629200000.0,8013815000.0,8402630000.0,8787380000.0,9183038000.0,,
Goodwill,26945180000.0,26945180000.0,26945180000.0,26945180000.0,26945180000.0,,
Net PPE,3248983000.0,3315696000.0,3299278000.0,3336128000.0,3355240000.0,,
Accumulated Depreciation,,-4089894000.0,,,,-3772438000.0,
Gross PPE,,7405590000.0,,,,7187988000.0,
Leases,,195707000.0,,,,191427000.0,
Machinery Furniture Equipment,,5091353000.0,,,,4919177000.0,
Land And Improvements,,2118530000.0,,,,2077384000.0,
Properties,,0.0,,,,0.0,
Current Assets,7602526000.0,7108061000.0,6924569000.0,5588537000.0,5733076000.0,,
Other Current Assets,426391000.0,363342000.0,305170000.0,305040000.0,344524000.0,,
Inventory,1767104000.0,1656323000.0,1596853000.0,1524897000.0,1474656000.0,,
Finished Goods,381131000.0,367515000.0,356232000.0,278680000.0,285846000.0,,
Work In Process,1318628000.0,1218625000.0,1171900000.0,1172112000.0,1107325000.0,,
Raw Materials,67345000.0,70183000.0,68721000.0,74105000.0,81485000.0,,
Receivables,1360184000.0,1436075000.0,1553259000.0,1382365000.0,1192442000.0,,
Accounts Receivable,1360184000.0,1436075000.0,1553259000.0,1382365000.0,1192442000.0,,
Allowance For Doubtful Accounts Receivable,,-5441000.0,,,,-7160000.0,
